country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd
Australia,AUS,Rest of World,26713206,1344251444393,386.7,20039.7,False,False,False,14.475986147076469,750.1795179507843,50321.606638791316
Azerbaijan,AZE,Rest of World,10336577,175370552026,39.8,2637.1,False,False,False,3.8504042489114143,255.12314182925354,16966.01805665454
Bahrain,BHR,Rest of World,1607059,58769760175,39.0,1112.2,False,False,False,24.267932913477352,692.071666317167,36569.75890430905
Belarus,BLR,Rest of World,9056696,175773799265,55.8,5184.2,False,False,False,6.161187258576417,572.4162542278111,19408.15936242091
Bermuda,BMU,Rest of World,64660,,0.6,31.0,False,False,False,9.279307145066502,479.43086916176924,
Bolivia,BOL,Rest of World,12413318,78165311428,28.7,641.2,False,False,False,2.312032931082568,51.65419914321054,6296.891083270403
Bonaire Sint Eustatius and Saba,BES,Rest of World,30699,,0.2,10.6,False,False,False,6.51487019121144,345.28812013420634,
Bosnia and Herzegovina,BIH,Rest of World,3164256,47069138435,19.4,1043.5,False,False,True,6.130983081014937,329.77736314634467,14875.262442419324
Botswana,BWA,Rest of World,2521145,39293967463,7.5,184.3,False,False,True,2.974838813316965,73.10170577257556,15585.762605086182
Brazil,BRA,Rest of World,211998565,3187412907763,483.0,18198.7,True,False,True,2.278317308421404,85.84350559165341,15035.068316443558
British Virgin Islands,VGB,Rest of World,39498,,0.2,6.3,False,False,False,5.063547521393488,159.50174692389487,
Brunei,BRN,Rest of World,462734,,12.1,427.8,False,False,False,26.148932215916705,924.5052233032369,
Cameroon,CMR,Rest of World,29123748,82727797383,9.6,309.2,False,False,False,0.32962790366130074,10.616765397091061,2840.561502695326
Canada,CAN,Rest of World,39742429,1761295624423,533.3,35644.1,False,False,False,13.418908039063238,896.8777424248528,44317.7648860617
Chile,CHL,Rest of World,19764774,448338105532,78.7,3324.9,False,False,False,3.9818315149973382,168.22352737248602,22683.695018824907
Christmas Island,CXR,Rest of World,,,0.0,1.3,False,False,False,,,
Colombia,COL,Rest of World,52886360,742716953392,92.7,3802.0,False,False,True,1.7528149035025289,71.88999205088042,14043.63910452525
Congo,COG,Rest of World,6332969,23679011891,8.8,191.1,False,False,False,1.3895536201108831,30.175420091271565,3739.0064424758752
Cook Islands,COK,Rest of World,13750,,0.1,2.7,False,False,False,7.2727272727272725,196.36363636363637,
Costa Rica,CRI,Rest of World,5129909,80345898158,8.8,285.8,False,False,False,1.715430039792129,55.712489246885276,15662.246281171849
Cote d'Ivoire,CIV,Rest of World,31934229,121471995793,14.8,400.1,False,False,False,0.46345255431092447,12.528876147283844,3803.8180221291705
Curacao,CUW,Rest of World,185482,,2.3,532.0,False,False,False,12.40012507952254,2868.202844480866,
Ecuador,ECU,Rest of World,18135478,175028884708,46.0,1391.2,False,False,False,2.5364647129786158,76.71151540643153,9651.186735083575
Egypt,EGY,Rest of World,116538256,1460427350416,258.4,7471.5,False,False,False,2.217297640012735,64.11199426221035,12531.741940740902
